State,LegalStatus
Alabama,Illegal
Alaska,Legal
Arizona,Legal
Arkansas,Mixed
California,Legal
Colorado,Legal
Connecticut,Mixed
Delaware,Mixed
District of Columbia,Legal
Florida,Mixed
Georgia,Illegal
Hawaii,Mixed
Idaho,Illegal
Illinois,Legal
Indiana,Illegal
Iowa,Illegal
Kansas,Illegal
Kentucky,Illegal
Louisiana,Mixed
Maine,Legal
Maryland,Mixed
Massachusetts,Legal
Michigan,Legal
Minnesota,Mixed
Mississippi,Mixed
Missouri,Mixed
Montana,Legal
Nebraska,Illegal
Nevada,Legal
New Hampshire,Mixed
New Jersey,Legal
New Mexico,Mixed
New York,Mixed
North Carolina,Illegal
North Dakota,Mixed
Ohio,Mixed
Oklahoma,Mixed
Oregon,Legal
Pennsylvania,Mixed
Rhode Island,Mixed
South Carolina,Illegal
South Dakota,Legal
Tennessee,Illegal
Texas,Illegal
Utah,Mixed
Vermont,Legal
Virginia,Illegal
Washington,Legal
West Virginia,Mixed
Wisconsin,Illegal
Wyoming,Illegal
