State,firearmDeathRate,firearmDeaths,homicideRate
AL,22.2,1076,12.8
AK,24.4,179,10.8
AZ,15.1,1136,5.9
AR,19.3,580,9.4
CA,7.2,2945,4.5
CO,14.2,846,4.3
CT,5.3,190,3.1
DE,9.9,93,6.1
FL,12.7,2872,6.7
GA,15.8,1695,8.1
HI,4.4,62,2.5
ID,14.2,255,1.7
IL,10.8,1367,8.1
IN,14.1,958,7.2
IA,9.1,294,2.7
KS,13.7,403,4.9
KY,14.9,682,5.9
LA,22.1,1013,14.7
ME,11.5,163,1.8
MD,12.6,757,10
MA,3.4,247,2.3
MI,12.1,1220,6.5
MN,8.1,465,2.8
MS,24.2,710,15.4
MO,20.6,1252,10.8
MT,19,209,3.7
NE,10.4,205,3.1
NV,15.3,490,5.5
NH,10.7,156,2.8
NJ,4.1,368,3.4
NM,22.3,471,11.8
NY,3.9,804,3.2
NC,13.1,1397,7
ND,12.4,93,3.1
OH,13.3,1578,6.6
OK,18.6,737,8.8
OR,12.6,566,3
PA,11.7,1541,6.1
RI,4.6,48,2.5
SC,19.9,1012,11
SD,13.1,113,3.6
TN,18.4,1270,9.2
TX,12.7,3683,5.9
UT,12.8,394,2.6
VT,9.3,67,0
VA,11.7,1025,5.3
WA,10.7,842,3.2
WV,16.6,300,5.7
WI,10,604,4.2
,,,4.4
