Country,Freedom_life_choices
Finland,0.949
Denmark,0.946
Switzerland,0.919
Iceland,0.955
Netherlands,0.913
Norway,0.960
Sweden,0.945
Luxembourg,0.907
New Zealand,0.929
Austria,0.908
Australia,0.914
Israel,0.800
Germany,0.875
Canada,0.915
Ireland,0.879
Costa Rica,0.934
United Kingdom,0.859
Czech Republic,0.858
United States,0.837
Belgium,0.783
France,0.822
Bahrain,0.925
Malta,0.927
Taiwan Province of China,0.784
United Arab Emirates,0.932
Saudi Arabia,0.877
Spain,0.761
Italy,0.693
Slovenia,0.949
Guatemala,0.906
Uruguay,0.896
Singapore,0.927
Kosovo,0.869
Slovakia,0.766
Brazil,0.804
Mexico,0.862
Jamaica,0.890
Lithuania,0.773
Cyprus,0.763
Estonia,0.909
Panama,0.872
Uzbekistan,0.970
Chile,0.742
Poland,0.841
Kazakhstan,0.853
Romania,0.845
Kuwait,0.867
Serbia,0.778
El Salvador,0.888
Mauritius,0.867
Latvia,0.715
Colombia,0.837
Hungary,0.755
Thailand,0.884
Nicaragua,0.836
Japan,0.796
Argentina,0.828
Portugal,0.892
Honduras,0.857
Croatia,0.754
Philippines,0.917
South Korea,0.672
Peru,0.822
Bosnia and Herzegovina,0.706
Moldova,0.822
Ecuador,0.842
Kyrgyzstan,0.935
Greece,0.582
Bolivia,0.875
Mongolia,0.708
Paraguay,0.876
Montenegro,0.708
Dominican Republic,0.860
North Cyprus,0.795
Belarus,0.650
Russia,0.718
Hong Kong S.A.R. of China,0.717
Tajikistan,0.832
Vietnam,0.940
Libya,0.771
Malaysia,0.895
Indonesia,0.873
Congo (Brazzaville),0.695
China,0.904
Ivory Coast,0.741
Armenia,0.825
Nepal,0.782
Bulgaria,0.788
Maldives,0.854
Azerbaijan,0.814
Cameroon,0.731
Senegal,0.695
Albania,0.785
North Macedonia,0.751
Ghana,0.807
Niger,0.806
Turkmenistan,0.877
Gambia,0.697
Benin,0.757
Laos,0.910
Bangladesh,0.877
Guinea,0.697
South Africa,0.749
Turkey,0.576
Pakistan,0.726
Morocco,0.774
Venezuela,0.615
Georgia,0.783
Algeria,0.480
Ukraine,0.724
Iraq,0.630
Gabon,0.731
Burkina Faso,0.695
Cambodia,0.959
Mozambique,0.882
Nigeria,0.737
Mali,0.697
Iran,0.608
Uganda,0.709
Liberia,0.735
Kenya,0.779
Tunisia,0.656
Lebanon,0.525
Namibia,0.719
Palestinian Territories,0.653
Myanmar,0.876
Jordan,0.755
Chad,0.579
Sri Lanka,0.841
Swaziland,0.647
Comoros,0.548
Egypt,0.749
Ethiopia,0.752
Mauritania,0.561
Madagascar,0.552
Togo,0.619
Zambia,0.782
Sierra Leone,0.717
India,0.893
Burundi,0.626
Yemen,0.602
Tanzania,0.833
Haiti,0.593
Malawi,0.780
Lesotho,0.715
Botswana,0.824
Rwanda,0.897
Zimbabwe,0.677
Afghanistan,0.382
