State,unempRate,unempRank
Nebraska,1.9,1
Utah,2.2,2
Oklahoma,2.7,3
Idaho,2.8,4
South Dakota,2.8,4
Vermont,2.8,4
New Hampshire,2.9,7
Alabama,3.1,8
Georgia,3.1,8
Montana,3.1,8
Wisconsin,3.2,11
Indiana,3.3,12
North Dakota,3.3,12
Minnesota,3.5,14
Virginia,3.6,15
Arkansas,3.7,16
Missouri,3.7,16
Iowa,3.9,18
Kansas,3.9,18
South Carolina,3.9,18
North Carolina,4.1,21
Wyoming,4.1,21
Kentucky,4.2,23
Tennessee,4.2,23
West Virginia,4.3,25
Oregon,4.4,26
Florida,4.6,27
Maine,4.9,28
Washington,5,29
Ohio,5.1,30
Arizona,5.2,31
Delaware,5.3,32
Massachusetts,5.3,32
Colorado,5.4,34
Louisiana,5.4,34
Rhode Island,5.4,34
Texas,5.4,34
Mississippi,5.5,38
Maryland,5.7,39
Illinois,6,40
Pennsylvania,6,40
Alaska,6.1,42
Michigan,6.1,42
District of Columbia,6.3,44
Hawaii,6.3,44
Connecticut,6.4,46
New Mexico,6.5,47
New York,6.9,48
New Jersey,7,49
California,7.3,50
Nevada,7.3,50
